timestamp,iceberg_id,name,code,latitude,longitude,length_km,width_km,area_sq_km,thickness_m,mass_gt,drift_speed_knots,drift_heading_deg,detection_confidence,sensor_source,calving_shelf,risk_tier,data_provenance
2026-06-01T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-63.6433,-50.3875,38.0,12.0,410.4,320.0,120.4,0.38,122.5,95,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-04T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-63.5109,-50.2926,38.0,12.0,410.4,320.0,120.4,0.36,109.9,95,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-07T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-63.3717,-50.1947,38.0,12.0,410.4,320.0,120.4,0.35,116.2,92,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-10T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-63.229,-50.0874,38.0,12.0,410.4,320.0,120.4,0.42,133.0,95,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-13T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-63.0916,-49.9621,38.0,12.0,410.4,320.0,120.4,0.27,114.2,93,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-16T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-62.9535,-49.8551,38.0,12.0,410.4,320.0,120.4,0.35,124.0,94,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-19T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-62.8134,-49.7461,38.0,12.0,410.4,320.0,120.4,0.32,116.2,92,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-22T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-62.6745,-49.6425,38.0,12.0,410.4,320.0,120.4,0.42,121.2,97,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-25T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-62.5474,-49.5352,38.0,12.0,410.4,320.0,120.4,0.29,120.0,96,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-06-28T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-62.4137,-49.4306,38.0,12.0,410.4,320.0,120.4,0.37,130.8,92,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-01T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-62.2847,-49.3297,38.0,12.0,410.4,320.0,120.4,0.35,117.6,95,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-04T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-62.1415,-49.2358,38.0,12.0,410.4,320.0,120.4,0.41,114.3,95,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-07T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-62.0034,-49.1058,38.0,12.0,410.4,320.0,120.4,0.32,121.2,95,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-10T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-61.8602,-49.0012,38.0,12.0,410.4,320.0,120.4,0.42,115.0,92,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-13T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-61.7237,-48.905,38.0,12.0,410.4,320.0,120.4,0.28,127.4,95,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-16T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-61.6058,-48.7881,38.0,12.0,410.4,320.0,120.4,0.39,114.8,96,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-19T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-61.4825,-48.689,38.0,12.0,410.4,320.0,120.4,0.33,122.4,94,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-22T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-61.3458,-48.5943,38.0,12.0,410.4,320.0,120.4,0.4,123.3,92,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-25T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-61.2153,-48.4724,38.0,12.0,410.4,320.0,120.4,0.37,115.5,93,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
2026-07-28T00:00:00+00:00,A23A,Iceberg A-23A,USNIC-2024-A23A,-61.0721,-48.391,38.0,12.0,410.4,320.0,120.4,0.31,123.6,91,Sentinel-1 SAR C-Band,Filchner-Ronne Ice Shelf,CRITICAL,REAL DATA (BYU/USNIC Antarctic Iceberg Database)
